taxa;Taxon;Pathogen;Pathogenicity;Origin;Origin_verbatim;Origin_verbatim;Origin_details;;;"""=SE(CONTA.SE(G:G; J13)=0; ""NUOVO""; """")""";DATI FILTRA NUOVO - COPIA;
;Alcanivorax;N;N;E;Environmental;Marine, hydrocarbon-contaminated;Oil-degrading marine bacteria;;;;;
S;Alcanivorax borkumensis;N;1;E;Environmental;Marine, oil spills;Hydrocarbonoclastic bacteria;;;;;
S;Alcanivorax jadensis;N;1;E;Environmental;Marine;Marine hydrocarbon degrader;;;;;
S;Alcanivorax venustensis;N;1;E;Environmental;Marine;Hydrocarbon-degrading marine bacteria;;;;;
;Algibacter;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algicola;N;N;E;Environmental;Marine;Algae-associated marine bacteria;;;;;
;Algimonas;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algiphilus;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Algiphilus aromaticivorans;N;1;E;Environmental;Marine;Aromatic compound degradation;;;;;
;Algisphaera;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algitalea;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algivirga;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algivirga pacifica;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algoriella;N;N;E;Environmental;Marine, estuarine;Marine bacterioplankton;;;;;
;Algorimarina;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Algoriphagus;N;N;E;Environmental;Marine, soil;Marine, soil bacteria;;;;;
S;Algoriphagus mannitolivorans;N;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Algoriphagus terrigena;N;1;E;Environmental;Soil;Soil bacterium;;;;;
;Aliagarivorans;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aliamphritea;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
G;Alicycliphilus;PP;1;O;Ubiquitous;Soil, Wastewater;Denitrifying bacteria;;;;;
;Alicyclobacillaceae;N;N;E;Environmental;Soil;Acidophilic soil bacteria;;;;;
;Alicyclobacillus;N;N;E;Environmental;Soil, acidic environments;Acidophilic soil bacterium;;;;;
;Aliidiomarina;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aliidongia;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aliifodinibius;N;N;E;Environmental;Saline soil, Marine;Halophilic soil, marine bacterium;;;;;
;Aliiglaciecola;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aliihoeflea;N;N;E;Environmental;Marine, estuarine;Marine bacterioplankton;;;;;
;Aliihoeflea aestuarii;N;N;E;Environmental;Marine, estuarine;Estuarine bacteria;;;;;
;Aliikangiella;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aliiroseovarius;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Aliiroseovarius pelagivivens;N;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aliivibrio;N;N;E;Environmental;Marine, animal;Marine bacteria, some bioluminescent symbionts;;;;;
S;Aliivibrio finisterrensis;N;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Aliivibrio fischeri;N;1;E;Environmental;Marine, squid symbiont;Bioluminescent marine symbiont;;;;;
G;Alishewanella;PP;1;E;Environmental;Soil, Water;Environmental bacteria;;;;;
S;Alishewanella aestuarii;N;1;E;Environmental;Estuarine;Estuarine bacteria;;;;;
;Alistipes;P;2;O;Ubiquitous;Gut;Human, animal gut;;;;;
S;Alistipes finegoldii;N;1;W;Anthropogenic;Human, Gut;Gut-associated bacterium;;;;;
S;Alistipes inops;N;1;W;Anthropogenic;Human, Gut;Gut-associated bacterium;;;;;
;Alistipes putredinis;P;2;W;Anthropogenic;Human, Gut;Gut-associated bacterium;;;;;
;Alistipes shahii;P;2;W;Anthropogenic;Human, Gut;Gut-associated bacterium;;;;;
;Aliterella;N;N;E;Environmental;Freshwater;Cyanobacteria, freshwater plankton;;;;;
;Alkalibacillus;N;N;E;Environmental;Soil, saline environments;Halophilic soil bacteria;;;;;
;Alkalibacter;N;N;W;Anthropogenic;Fermented food;Food-associated bacteria;;;;;
;Alkalibacterium;N;N;W;Anthropogenic;Fermented food, soil;Food, soil bacteria;;;;;
S;Alkalibacterium olivapovliticus;N;1;W;Anthropogenic;Fermented food;Food-associated;;;;;
;Alkalibaculum;N;N;W;Anthropogenic;Anaerobic digester;Fermentative bacteria;;;;;
;Alkalimarinus;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Alkaliphilus;N;N;E;Environmental;Soil, Sediment;Alkaliphilic anaerobic bacterium;;;;;
;Alkalispirochaeta;N;N;E;Environmental;Sediment;Alkaliphilic spirochetes;;;;;
;Alkanibacter;N;N;E;Environmental;Soil, Marine;Hydrocarbon-degrading bacteria;;;;;
;Alkanindiges;N;N;O;Ubiquitous;Soil, Wastewater;Hydrocarbon-degrading bacteria;;;;;
;Alkanindiges sp H1;N;N;O;Ubiquitous;Soil, Wastewater;Hydrocarbon-degrading bacteria;;;;;
;Allisonella;N;N;O;Ubiquitous;Gut;Human, animal gut;;;;;
;Allobaculum;N;N;O;Ubiquitous;Gut;Animal gut;;;;;
;Allobranchiibius;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Allochromatium;N;N;E;Environmental;Sediment, Water;Purple sulfur bacteria, aquatic sediments;;;;;
;Allofrancisella;N;N;O;Ubiquitous;Clinical, Environment;Opportunistic pathogen, environmental isolates;;;;;
;Allohahella;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Allohumibacter;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
